Четверг;Пара1(нечет);"8:20-9:50";"нечетная неделя";"1324 АУД";"Кронверкский пр., д.49, лит.А";"Основы Профессиональной Деятельности";"Наконечная Оксана Валерьевна"
Четверг;Пара2(нечет);"10:00-11:30";"нечетная неделя";"1324 АУД";"Кронверкский пр., д.49, лит.А";"Основы Профессиональной Деятельности";"Наконечная Оксана Валерьевна"
Четверг;Пара4(чет);"13:30-15:00";"четная неделя";"Актовый зал (1216/0 (усл))";"ул. Ломоносова, д.9, лит.Е";"История русской культуры в контексте мировой культуры";"Жиркова Галина Петровна"
Четверг;Пара4(нечет);"13:30-15:00";"нечетная неделя";"Актовый зал (1216/0 (усл))";"ул. Ломоносова, д.9, лит.Е";"История русской культуры в контексте мировой культуры";"Жиркова Галина Петровна"
Четверг;Пара6(чет);"17:00-18:30";"четная неделя";"АУД 1226";"ул. Ломоносова, д.9, лит.Е";"История русской культуры в контексте мировой культуры";"Мартынова Дарья Олеговна"
Четверг;Пара6(нечет);"17:00-18:30";"нечетная неделя";"АУД 1226";"ул. Ломоносова, д.9, лит.Е";"История русской культуры в контексте мировой культуры";"Мартынова Дарья Олеговна"
